경찰서이름,도로명주소,x,y
서문지구대,대구광역시 중구  국채보상로 99길 12,128.583915925,35.871342114
동덕지구대,대구광역시 중구 국채보상로 140길 16,128.606030374,35.868073858
남산지구대,대구광역시 중구  달구벌대로 2048,128.587660173,35.866068153
중앙파출소,대구광역시 중구  중앙대로 81길 88,128.588814297,35.869668582
큰고개지구대,대구광역시 동구  효목로19길 143,128.636851059,35.883128377
동촌지구대,대구광역시 동구  해동로 184,128.648837312,35.886601477
안심지구대,대구광역시 동구  반야월로 219,128.712837669,35.872275519
남신암지구대,대구광역시 동구  대현로 126 ,128.612398896,35.881360209
동대구지구대,대구광역시 동구  동대구로85길 53 ,128.624265333,35.874972448
팔공파출소,대구광역시 동구 팔공로 197길 47,128.691454479,35.956252997
공산파출소,대구광역시 동구 파계로 546,128.633683684,35.979144559
봉무불로파출소,대구광역시 동구 위남로9,128.640118013,35.927269977
동내혁신파출소,대구 동구 동내로 120,128.733894040,35.881623552
평산지구대,대구광역시 서구  달서로26길 1,128.571480605,35.873352587
서도지구대,대구광역시 서구  국채보상로 260,128.559508477,35.871012523
이현지구대,대구광역시 서구  국채보상로 117,128.543954787,35.869046963
비원지구대,대구광역시 서구  고성로 83,128.575461382,35.883530324
내당4동파출소,대구광역시 서구  달구벌대로 1737,128.555118335,35.857315123
봉천지구대,대구광역시 남구  봉덕로 87,128.600185245,35.845043445
동대명지구대,대구광역시 남구  양지로 100,128.579099320,35.851217806
서대명파출소,대구광역시 남구 대명남로 177,128.577519581,35.835820118
대명파출소,대구광역시 남구  두류공원로 113,128.567281205,35.846128203
남대명파출소,대구광역시 남구  대명남로 55,128.564285624,35.835145912
노원지구대,대구광역시 북구  오봉로 122,128.579366613,35.898439143
복현지구대,대구광역시 북구  경진로1길 50,128.617727516,35.894405771
고성지구대,대구광역시 북구  침산로 24,128.589003974,35.878654658
산격지구대,대구광역시 북구  연암로 114,128.594775918,35.894645565
고산지구대,대구광역시 수성구  고산로 150,128.706514929,35.843839298
황금지구대,대구광역시 수성구  청수로 245,128.634688328,35.841031456
만촌지구대,대구광역시 수성구  무열로 111,128.648860926,35.868282894
상동지구대,대구광역시 수성구  들안로 54,128.617177514,35.834530477
지산지구대,대구광역시 수성구  지범로 155,128.637119403,35.823223158
범어지구대,대구광역시 수성구  동대구로 313,128.625092730,35.858487937
파동파출소,대구광역시 수성구  파동로 2길 30,128.621281692,35.808606104
월배지구대,대구광역시 달서구  월배로 108,128.526378998,35.814205322
상인지구대,대구광역시 달서구  상인서로 36,128.544979777,35.814039298
송현지구대,대구광역시 달서구  학산로 184,128.546589547,35.833610553
월성파출소,대구광역시 달서구  월성로 69,128.528057959,35.830794569
대곡파출소,대구광역시 달서구  갈밭로 51,128.528711009,35.803231873
신당지구대,대구광역시 달서구  선원로 62,128.499148185,35.858967203
죽전파출소,대구광역시 달서구  용산로 212,128.531223445,35.856664387
성당파출소,대구광역시 달서구  구마로39길 83-16,128.547084268,35.841219907
두류3동파출소,대구광역시 달서구  야외음악당로 202,128.557368855,35.853369749
성서파출소,대구광역시 달서구  달구벌대로 1327,128.512584606,35.851210280
용산파출소,대구광역시 달서구  선원로 276,128.522801084,35.858558508
두류파출소,대구광역시 달서구  야외음악당로 280,128.564788496,35.856423920
감삼파출소,대구광역시 달서구  달구벌대로 1606,128.542360230,35.851751979
가창파출소,대구광역시 달성군 가창면 가창로 1076,128.623180432,35.800625847
공단파출소,대구광역시 달성군 논공읍 논공중앙로33길 7,128.452821372,35.730315802
논공파출소,대구광역시 달성군 논공읍 비슬로 1788,128.421217357,35.773985212
구지파출소,대구광역시 달성군 구지면 창리로11길 51,128.413253166,35.659304255
화남파출소,대구광역시 달성군 화원읍 비슬로 2480,128.489938465,35.798689793
화원파출소,대구광역시 달성군 화원읍 명천로 100,128.507089444,35.802594944
옥포파출소,대구광역시 달성군 옥포읍 비슬로 2294 ,128.472152734,35.790361831
다사지구대,대구광역시 달성군 다사읍 세천로 100 ,128.472485789,35.873163949
현풍파출소,대구광역시 달성군 현풍읍 현풍중앙로 70,128.445113311,35.695636968
유가파출소,대구광역시 달성군 유가읍 테크노상업로 99,128.460448839,35.693889507
하빈파출소,대구광역시 달성군 하빈면 달구벌대로 55길 58-4,128.421458272,35.876081762
동천지구대,대구광역시 북구  구암로 157,128.558039772,35.931902077
강북지구대,대구광역시 북구  동암로 171 ,128.569746900,35.943676995
무태파출소,대구광역시 북구  서변로 62,128.596789618,35.921361392
관문파출소,대구광역시 북구 한강로 103,128.520945159,35.896422398
