정류장명,위도,경도
하산리,35.87893,128.40018
감문리,35.89075,128.42402
감문리 삼실,35.88629,128.42113
달서중고등학교,35.8844,128.422
묘1리 파회,35.90519,128.41312
육신사입구,35.90333,128.41989
동곡네거리,35.87837,128.41586
하산리,35.87872,128.40099
대실역2번출구,35.85879,128.46373
감문리,35.8911,128.42395
묘1리 파회,35.90526,128.41317
묘2리,35.89862,128.42205
묘2리점마,35.89534,128.42162
문양3리 장귀미,35.87938,128.42368
영천버스터미널앞,35.96082,128.9275
성림한의원,35.96234,128.93154
영천공설시장(완산동주민센터앞),35.96501,128.939
SD웨딩컨벤션앞,35.96632,128.93896
영천시청.영천축산농협건너,35.9712,128.93952
-,35.97207,128.94137
사일온천입구(청통방향),35.9667,128.8225
영천고등학교앞,35.97324,128.94382
영천고.문화아파트,35.97407,128.94573
사일온천입구(경산방향),35.9671,128.8222
창신아파트앞,35.98621,128.95519
전경부대앞,35.98539,128.95174
한신더휴영천퍼스트.세왕금속,35.98306,128.95226
대일빌라입구,35.97832,128.95322
청호아파트앞,35.97566,128.95026
천일주유소,35.9708,128.822
경주세무서영천지서앞,35.96238,128.92431
영천시청.영천축산농협앞,35.97154,128.93981
천일주유소 건너,35.971,128.822
청호아파트건너,35.97556,128.95041
대일빌라건너,35.97841,128.95337
망정휴먼시아5단지아파트,35.98274,128.9525
전경부대건너,35.98522,128.95196
창신아파트건너(우로지앞),35.98599,128.95447
영천공설시장(완산동주민센터건너),35.96523,128.93879
성림한의원건너,35.96268,128.93187
영풍한의원,35.9616,128.92955
영천버스터미널건너,35.96113,128.92713
경주세무서영천지서건너,35.96249,128.92455
송천리(경산방향),35.9761,128.8235
영천농협본점,35.9635,128.9365
송천리(청통방향),35.9761,128.8236
대구은행건너,35.96327,128.93498
영천공설시장(영천신협앞),35.96339,128.93827
은해사 건너,35.99,128.7985
영천여고건너(주유소앞),35.96307,128.92195
오수동.쌍계마을입구(금호방면),35.96101,128.91595
오수동e마트,35.95776,128.91159
영천경찰서,35.95135,128.90657
원제리,35.94401,128.90415
윤성아파트앞,35.94069,128.89805
냉천리(금호방면),35.93469,128.88399
금호초등학교,35.93393,128.88125
금호읍사무소,35.93247,128.8776
금호시장앞,35.93151,128.87351
은해사,35.9901,128.7985
금호터미널건너,35.93059,128.8693
금호역,35.93026,128.86778
덕성리동일금속,35.92919,128.86354
금호역건너,35.93018,128.86788
금호터미널,35.93063,128.86998
금호시장건너,35.93132,128.87314
금호읍사무소건너,35.93262,128.87805
냉천2리회관.금호초등건너,35.93407,128.88194
냉천리(영천방면),35.9347,128.88475
KC피드,35.93871,128.89368
원촌(청통방향),35.9842,128.8243
윤성아파트건너,35.93999,128.89695
원제리(신월리입구),35.94351,128.90405
효사랑요양병원,35.94923,128.90575
영천경찰서건너,35.95141,128.90689
영대병원,35.95864,128.91292
오수동.쌍계마을입구(영천방면),35.96057,128.91559
영천여고앞,35.96291,128.92089
원촌(경산방향),35.9844,128.8242
애련1종점(청통방향),36.0019,128.79268
주농교회 건너,35.994,128.8094
주농교회,35.9941,128.8097
애련3(청통방향),35.9996,128.8031
청통교회 건너,35.9889,128.8235
청통교회,35.9891,128.8233
애련2(애련방향),36.0032,128.7972
애련2(애련방향),36.0033,128.7974
애련동회관,36.002,128.8011
치일2리(청통방향),35.9906,128.8234
치일2리(경산방향),35.9908,128.8231
치산관광지종점,36.0496,128.7126
마평지,35.9969,128.816
신학1리(경산방향),35.9956,128.82
신학1리(신녕방향),35.9955,128.8201
청통네거리,35.9958,128.8197
계포교회 건너,36.0006,128.8176
계포교회,36.0007,128.8176
치산2리(신녕방향),36.0555,128.7147
하계마을,36.006,128.8132
하계마을 건너,36.006,128.8133
계지교(신녕방향),36.0092,128.809
계지교(경산방향),36.0094,128.8089
치산1(치산방향),36.0573,128.7172
치산2(신녕방향),36.0593,128.7186
치산2(치산방향),36.0594,128.7186
늘미(신녕방향),36.015,128.8059
넓문이(경산방향),36.0153,128.8058
신덕교(신녕방향),36.0218,128.8021
신덕교(경산방향),36.0223,128.8018
신녕요양병원 건너,36.0642,128.7308
신녕요양병원,36.0643,128.7311
한국타이어,36.0373,128.7888
한국타이어 건너,36.0373,128.789
부산1리(신녕방향),36.0578,128.7499
부산1리(치산방향),36.0579,128.7501
왕산리(치산방향),36.0493,128.7679
부산리(신녕방향),36.0577,128.7539
신녕(성덕대방향),36.0408,128.7883
신녕(경산방향),36.0411,128.7881
신령삼거리(경산방향),36.0434,128.7872
신령삼거리(치산방향),36.0435,128.7874
