명칭,종별,전체,전화번호,도로명주소,x,y
동보한의원,한의원,0,053-635-6677,대구광역시 달성군 화원읍 비슬로 2599,128.500765784,35.804787789
명성한의원,한의원,0,053-632-4416,대구광역시 달성군 화원읍 비슬로 2620,128.503175737,35.804946834
김성배한의원,한의원,0,053-642-7864,대구광역시 달성군 화원읍 비슬로 2576,128.498529384,35.803239754
동의보감한의원,한의원,0,053-591-5709,대구광역시 달성군 다사읍 달구벌대로 846,128.462536566,35.859954480
영광한의원,한의원,0,053-616-2345,대구광역시 달성군 현풍읍 현풍중앙로 57,128.445334532,35.694390910
성모한의원,한의원,0,053-611-5556,대구광역시 달성군 현풍읍 현풍중앙로 38,128.446430940,35.693054590
서재강수한의원,한의원,0,053-582-7533,"대구광역시 달성군 다사읍 서재로7길 8, 4층",128.492549227,35.868685861
가창본한의원,한의원,0,053-768-1075,"대구광역시 달성군 가창면 가창로 1094, 1층",128.622637453,35.802167753
김상헌한의원,한의원,0,053-591-7275,대구광역시 달성군 다사읍 서재로30길 6-6,0,0
열린한의원,한의원,0,053-635-9696,"대구광역시 달성군 화원읍 화암로 71, 301호",128.496306871,35.798041533
명곡한의원,한의원,0,053-644-0010,"대구광역시 달성군 화원읍 명곡로 14, 203호 (명곡골든프라자)",128.496118199,35.798447952
류영일한의원,한의원,0,053-614-7501,대구광역시 달성군 논공읍 논공로17길 16,128.442790621,35.729901492
구지감초한의원,한의원,9,053-614-9960,대구광역시 달성군 구지면 창리로11길 58-6,128.414039179,35.659295886
부강한의원,한의원,0,053-644-8275,"대구광역시 달성군 화원읍 화암로 63, 201호",128.495443326,35.797730745
다사랑한의원,한의원,0,053-591-1275,대구광역시 달성군 다사읍 달구벌대로 805,128.459478104,35.862708897
논공누가한의원,한의원,0,053-615-3550,대구광역시 달성군 논공읍 논공로9길 85,128.444441362,35.729580826
호산한의원,한의원,0,053-526-1133,"대구광역시 달성군 현풍읍 테크노상업로 48, 동신빌딩 2층",128.455084290,35.692801702
윤석찬한의원,한의원,0,053-632-1075,"대구광역시 달성군 화원읍 비슬로 2570, 2층",128.498048033,35.803141385
삼화당한의원,한의원,0,053-615-4957,"대구광역시 달성군 논공읍 논공로5길 175, 2층",128.445281337,35.730124506
감로수사암한의원,한의원,0,053-638-7522,"대구광역시 달성군 화원읍 명천로 234, 2층",128.493109407,35.798950642
황수진한의원,한의원,0,053-587-1075,"대구광역시 달성군 다사읍 달구벌대로 863, 401호",128.464416570,35.858873398
다사수한의원,한의원,0,053-588-9098,"대구광역시 달성군 다사읍 달구벌대로 864, 202호",128.463713701,35.858687216
병인한의원,한의원,0,053-582-7510,대구광역시 달성군 다사읍 달구벌대로 877,128.465389248,35.858086854
정암한의원,한의원,0,053-582-5565,대구광역시 달성군 하빈면 육신사길 51-13,128.414492820,35.910411970
부부아이맘한의원,한의원,0,053-617-8275,대구광역시 달성군 논공읍 논공로9길 54,128.441255893,35.730724809
국민한의원,한의원,0,053-427-5975,대구광역시 달성군 화원읍 비슬로 2723,128.512698266,35.809842482
선한의원,한의원,0,053-642-5858,대구광역시 달성군 화원읍 비슬로 2717,128.512229452,35.809625457
억산한의원,한의원,0,053-585-3399,대구광역시 달성군 다사읍 달구벌대로 873,128.465042077,35.858282429
삼봉한의원,한의원,0,053-644-7582,"대구광역시 달성군 화원읍 비슬로 2583, 2층",128.499284271,35.804046832
아침나무한의원,한의원,0,053-581-1122,"대구광역시 달성군 다사읍 달구벌대로 866, 2층 203호",128.464144201,35.858153649
소망한의원,한의원,0,053-614-9972,대구광역시 달성군 현풍읍 현풍동로 8,128.447395373,35.691843952
아이맘편작한의원,한의원,0,053-587-2800,"대구광역시 달성군 다사읍 달구벌대로 889, 301호",128.466288156,35.857370313
