,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,시군구+도로명+면적,시군구+도로명,계약년월일,경도,위도
0,대구광역시 남구 대명동,1132-3,1132,3,조은하이빌,84.85,202009,11,"25,700",4,2003.0,관문시장1길 18,,-,-,대구광역시 남구 대명동 관문시장1길 18 84.85,대구광역시 남구 대명동 관문시장1길 18,20200911,128.558638843,35.836821716
1,대구광역시 남구 대명동,3029-42,3029,42,노블캐슬,102.14,201805,7,"37,000",8,2016.0,대경길 125,,-,-,대구광역시 남구 대명동 대경길 125 102.14,대구광역시 남구 대명동 대경길 125,20180507,128.572860578,35.845290336
2,대구광역시 남구 대명동,3029-42,3029,42,노블캐슬,80.95,202105,3,"29,000",4,2016.0,대경길 125,,-,-,대구광역시 남구 대명동 대경길 125 80.95,대구광역시 남구 대명동 대경길 125,20210503,128.572860578,35.845290336
3,대구광역시 남구 대명동,3007-34,3007,34,대명(3007-34),84.98,202201,9,"17,500",5,1991.0,대경길 222,,중개거래,대구 남구,대구광역시 남구 대명동 대경길 222 84.98,대구광역시 남구 대명동 대경길 222,20220109,128.577169478,35.846685370
4,대구광역시 남구 대명동,3008,3008,0,경북,71.28,202108,14,"17,800",5,1983.0,대경길 258,,-,-,대구광역시 남구 대명동 대경길 258 71.28,대구광역시 남구 대명동 대경길 258,20210814,128.577134734,35.848058684
5,대구광역시 남구 대명동,3008,3008,0,경북,74.25,202208,31,"17,500",2,1983.0,대경길 258,,중개거래,대구 남구,대구광역시 남구 대명동 대경길 258 74.25,대구광역시 남구 대명동 대경길 258,20220831,128.577134734,35.848058684
6,대구광역시 남구 대명동,177-6,177,6,아리랑빌라트,74.57,202105,3,"56,000",4,2016.0,대명남1길 35,,-,-,대구광역시 남구 대명동 대명남1길 35 74.57,대구광역시 남구 대명동 대명남1길 35,20210503,0,0
7,대구광역시 남구 대명동,177-6,177,6,아리랑빌라트,74.57,202105,3,"56,000",5,2016.0,대명남1길 35,,-,-,대구광역시 남구 대명동 대명남1길 35 74.57,대구광역시 남구 대명동 대명남1길 35,20210503,0,0
8,대구광역시 남구 대명동,177-6,177,6,아리랑빌라트,74.57,202105,3,"56,000",5,2016.0,대명남1길 35,,-,-,대구광역시 남구 대명동 대명남1길 35 74.57,대구광역시 남구 대명동 대명남1길 35,20210503,0,0
9,대구광역시 남구 대명동,177-6,177,6,아리랑빌라트,74.57,202105,3,"56,000",4,2016.0,대명남1길 35,,-,-,대구광역시 남구 대명동 대명남1길 35 74.57,대구광역시 남구 대명동 대명남1길 35,20210503,0,0
