,철도운영기관명,선명,역명,도로명주소,전화번호,경도,위도
0,대구도시철도공사,1호선,각산,대구광역시 동구 안심로 지하 363(신서동),053-963-7754,128.688991272,35.873808882
1,대구도시철도공사,1호선,교대,대구광역시 남구 중앙대로 지하 194(대명동),053-473-7702,128.590864279,35.841962537
2,대구도시철도공사,1호선,대곡(정부대구청사),대구광역시 달서구 비슬로 지하 2718,053-644-7723,128.512446399,35.809421035
3,대구도시철도공사,1호선,대구역,대구광역시 북구 칠성남로30길 지하 24,053-426-7797,128.596090068,35.877338723
4,대구도시철도공사,1호선,대명,대구광역시 남구 대명로 지하71,053-627-7746,128.570880648,35.839105196
5,대구도시철도공사,1호선,동구청(큰고개),대구광역시 동구 신암남로 지하169(신암동),053-942-7721,128.623142117,35.879587570
6,대구도시철도공사,1호선,동대구역,대구광역시 동구 동대구로 지하530( 신천동),053-742-7787,128.627280341,35.867300962
7,대구도시철도공사,1호선,동촌(동촌유원지),대구광역시 동구 해동로 지하197(검사동),053-981-7731,128.648442976,35.886709426
8,대구도시철도공사,1호선,명덕(2.28민주운동기념회관),대구광역시 중구 명덕로 지하185(남산동),053-255-7723,128.581602274,35.857179315
9,대구도시철도공사,1호선,반야월,대구광역시 동구 안심로 지하261,053-962-7798,128.688991272,35.873808882
10,대구도시철도공사,1호선,반월당,대구광역시 중구 달구벌대로 지하2100(덕산동),053-255-7735,128.605476219,35.863439250
11,대구도시철도공사,1호선,방촌,대구광역시 동구 동촌로 지하275(방촌동),053-984-7716,128.644253132,35.892495517
12,대구도시철도공사,1호선,상인,대구광역시 달서구 월배로 지하 223,053-642-7745,128.530386178,35.816192013
13,대구도시철도공사,1호선,서부정류장(관문시장),대구광역시 남구 월배로 지하501 (대명동),053-651-7736,128.555641298,35.834379496
14,대구도시철도공사,1호선,설화명곡,대구광역시 달성군 비슬로 지하 2476,053-634-2674,128.419900164,35.774338829
15,대구도시철도공사,1호선,송현,대구광역시 달서구 월배로 지하 412,053-626-7730,128.530386178,35.816192013
16,대구도시철도공사,1호선,신기,대구광역시 동구 안심로 지하159(신기동),053-962-7773,128.688991272,35.873808882
17,대구도시철도공사,1호선,신천(경북대입구),대구광역시 동구 동부로 지하 41,053-756-7706,128.614160028,35.874392685
