학교명,y,x,주요대학합격자수
대구남산고등학교,128.6091788,35.85731247,3 
영신고등학교,128.646424,35.92000422,0 
경상여자고등학교,128.5878439,35.90054196,0 
대구동부고등학교,128.7190722,35.87429023,0 
대구공업고등학교,128.6141702,35.88321267,0 
대구여자고등학교,128.629864,35.85650935,4 
함지고등학교,128.5605125,35.92786841,0 
경원고등학교,128.525679,35.86547932,5 
경덕여자고등학교,128.5489381,35.86357119,0 
대곡고등학교,128.536857,35.80323736,0 
대구서부고등학교,128.5602007,35.87365309,0 
대구과학기술고등학교,128.5482964,35.85749282,0 
상인고등학교,128.5512978,35.81045198,3 
청구고등학교,128.6205716,35.86865525,0 
매천고등학교,128.5472371,35.91159433,0 
구암고등학교,128.553221,35.92623822,0 
송현여자고등학교,128.5462157,35.83112106,0 
영남고등학교,128.5363043,35.82076999,0 
다사고등학교,128.4627608,35.86110567,2 
달서고등학교,128.4214028,35.8861993,0 
성광고등학교,128.6242288,35.9075717,2 
경명여자고등학교,128.5984327,35.88072706,0 
덕원고등학교,128.705953,35.82572222,2 
경북여자상업고등학교,128.5887495,35.85494162,0 
성서고등학교,128.516192,35.8598709,0 
대중금속공업고등학교,128.5529842,35.95563216,0 
대구체육고등학교,128.5577173,35.95879744,0 
경북공업고등학교,128.5835008,35.85851368,0 
능인고등학교,128.632558,35.83210847,2 
영남공업고등학교,128.6469293,35.84842817,0 
대구외국어고등학교,128.4980612,35.86044381,4 
화원고등학교,128.4892713,35.79720117,0 
경신고등학교,128.6375875,35.85548176,8 
경북예술고등학교,128.5885265,35.85458674,0 
와룡고등학교,128.5036794,35.86137993,0 
영송여자고등학교,128.5418413,35.92901653,0 
칠성고등학교,128.5912615,35.88060728,2 
상서고등학교,128.5498704,35.84643612,0 
경화여자고등학교,128.5486077,35.84839511,0 
달성고등학교,128.5553428,35.85893186,0 
강동고등학교,128.7296127,35.86598296,0 
대구전자공업고등학교,128.5297971,35.84793267,0 
대구공업고등학교테크노폴리스캠퍼스,128.4549742,35.67008799,0 
대구국제고등학교,128.5818352,35.95539447,0 
경북고등학교,128.6416344,35.84474469,0 
대구제일고등학교,128.5738084,35.8706847,0 
학남고등학교,128.5691977,35.94627087,0 
경북여자고등학교,128.5922004,35.85842716,0 
수성고등학교,128.625466,35.82127653,0 
성화여자고등학교,128.620265,35.9032298,0 
달구벌고등학교,128.6108132,35.99454114,0 
효성여자고등학교,128.5284024,35.83430422,0 
현풍고등학교,128.4382371,35.6985296,2 
대원고등학교,128.5070767,35.80668948,0 
협성고등학교,128.5995217,35.83498157,0 
대구제일여자상업고등학교,128.545887,35.84075539,0 
경상공업고등학교,128.5741961,35.8452186,0 
경상고등학교,128.621534,35.90189918,0 
강북고등학교,128.5412228,35.92972817,0 
운암고등학교,128.5637524,35.93883398,0 
대구달서공업고등학교,128.5386414,35.82324215,0 
동문고등학교,128.6510319,35.87730148,0 
경일여자고등학교,128.5968171,35.83640873,0 
대구과학고등학교,128.6256473,35.84514667,51 
원화여자고등학교,128.5491224,35.84830827,0 
정화여자고등학교,128.6418878,35.84940778,3 
오성고등학교,128.6447837,35.85447266,2 
대구혜화여자고등학교,128.647666,35.84985719,2 
정동고등학교,128.6928649,35.87674854,0 
경북대학교사범대학부설고등학교,128.6006135,35.8625154,2 
대륜고등학교,128.6567622,35.85168394,6 
영진고등학교,128.6220753,35.89461538,0 
대구일과학고등학교,128.7226999,35.88656282,23 
신명고등학교,128.584035,35.86838328,0 
시지고등학교,128.7074233,35.83011697,0 
성산고등학교,128.5200481,35.86224357,0 
대구여자상업고등학교,128.5832069,35.84902055,0 
대구일마이스터고등학교,128.6472193,35.88205162,0 
비슬고등학교,128.4545987,35.69550494,0 
호산고등학교,128.4818071,35.8490573,0 
심인고등학교,128.465259,35.85311035,0 
대건고등학교,128.5284024,35.83430422,5 
대구관광고등학교,128.6323701,35.89004876,0 
대구고등학교,128.5887953,35.84910923,0 
도원고등학교,128.5454881,35.80527659,0 
조일고등학교,128.6944554,35.8820852,0 
대구소프트웨어마이스터고등학교,128.4136189,35.66325082,0 
대구보건고등학교,128.5726243,35.85810993,0 
대진고등학교,128.5183763,35.80569844,0 
대구상원고등학교,128.5367154,35.82284064,0 
계성고등학교,128.5283449,35.87117298,3 
대구중앙고등학교,128.6172837,35.86646267,0 
포산고등학교,128.447956,35.69081479,5 
경북기계공업고등학교,128.5424752,35.82211269,0 
대구농업마이스터고등학교,128.7017162,35.83818145,0 
