"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220501 ~ 20230430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202205","10","27,500","4","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202205","20","26,000","10","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202205","20","23,700","1","1980","대명로 117","","직거래","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202206","2","26,000","9","1980","대명로 117","","직거래","-"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202210","7","24,000","1","1980","대명로 117","20221130","중개거래","대구 남구"
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202303","23","21,000","10","1980","대명로 117","","중개거래","대구 남구"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","202205","11","19,000","1","1983","대경길 258","","직거래","-"
"대구광역시 남구 대명동","3008","3008","0000","경북","74.25","202208","31","17,500","2","1983","대경길 258","","중개거래","대구 남구"
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","70.35","202207","2","13,500","6","1977","현충로 190","","중개거래","대구 남구"
"대구광역시 남구 대명동","2519-5","2519","0005","계명맨션","81.33","202211","15","25,750","1","1980","명덕로20길 12","","중개거래","대구 남구"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","84.3316","202205","18","50,160","4","2017","이천로19길 81","","직거래","-"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","76.244","202210","23","33,000","7","2017","이천로19길 81","","중개거래","대구 남구"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","76.244","202212","13","35,600","5","2017","이천로19길 81","","직거래","-"
"대구광역시 남구 대명동","3060","3060","0000","교대역동서프라임36.5","76.244","202212","23","34,200","9","2017","이천로19길 81","","직거래","-"
"대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","74.7212","202206","22","45,950","8","2022","중앙대로 187","20221011","중개거래","대구 남구, 대구 달서구"
"대구광역시 남구 대명동","3067","3067","0000","교대역하늘채뉴센트원","74.7212","202207","15","46,510","12","2022","중앙대로 187","","중개거래","대구 남구"
