,아파트명,면적,법정동주소,도로명주소,latitude,longitude,세대수,임대세대수,최고층,최저층,용적률,건폐율,주차대수,건설사,난방,공급면적,전용면적,전용율,방수,욕실수,해당면적_세대수,현관구조,재산세,재산세합계,지방교육세,재산세_도시지역분,종합부동산세,결정세액,농어촌특별세,가격,겨울관리비,여름관리비,매매호가,전세호가,월세호가,실거래가,초등학교_학군정보,초등학교_설립정보,초등학교_남학생수,초등학교_여학생수
0,가든맨션,77㎡,대구시 남구 대명동 산 58-2,대구시 남구 중앙대로31길 79,35.848816,128.586623,110.0,0.0,5.0,5.0,0,0,0.0,,HT001,77.36,69.84,90,3,1,50,계단식,26550.0,106200.0,5310.0,74340.0,0.0,0.0,0.0,18000.0,,,"2억 2,000","9,000",,,남대구초등학교,공립,75.0,66.0
1,가든맨션,88A㎡,대구시 남구 대명동 산 58-2,대구시 남구 중앙대로31길 79,35.848816,128.586623,110.0,0.0,5.0,5.0,0,0,0.0,,HT001,88.21,80.64,91,3,1,20,계단식,29475.0,117900.0,5895.0,82530.0,0.0,0.0,0.0,19000.0,,,"2억 8,500",,,,남대구초등학교,공립,75.0,66.0
2,가든맨션,90B,대구시 남구 대명동 산 58-2,대구시 남구 중앙대로31길 79,35.848816,128.586623,110.0,0.0,5.0,5.0,0,0,0.0,,HT001,90.74,83.16,92,3,1,40,계단식,32550.0,126630.0,6510.0,87570.0,0.0,0.0,0.0,19750.0,,,"3억 2,000",,,,남대구초등학교,공립,75.0,66.0
0,강남골든하이츠,70㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,70.31,61.2,87,2,1,1,계단식,21240.0,84960.0,4248.0,59472.0,0.0,0.0,0.0,18000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
1,강남골든하이츠,71㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,71.27,62.05,87,2,1,1,계단식,21330.0,85320.0,4266.0,59724.0,0.0,0.0,0.0,19000.0,,,,,,,대구성명초등학교,공립,125.0,152.0
2,강남골든하이츠,83㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,83.74,72.9,87,3,1,1,계단식,24750.0,99000.0,4950.0,69300.0,0.0,0.0,0.0,19750.0,,,,,,,대구성명초등학교,공립,125.0,152.0
3,강남골든하이츠,85㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,85.05,74.05,87,3,1,1,계단식,24975.0,99900.0,4995.0,69930.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
4,강남골든하이츠,95A㎡,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,95.98,83.56,87,3,2,5,계단식,28575.0,114300.0,5715.0,80010.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
5,강남골든하이츠,97B,대구시 남구 대명동 3022-1,대구시 남구 양지남길 28,35.850507,128.574991,14.0,0.0,8.0,8.0,293,48,11.0,고성토건(주),HT001,97.29,84.7,87,3,2,5,계단식,28800.0,115200.0,5760.0,80640.0,0.0,0.0,0.0,,,,,,,,대구성명초등학교,공립,125.0,152.0
0,개나리맨션,84,대구시 남구 대명동 1635,대구시 남구 대명로 117,35.840471,128.570292,427.0,0.0,10.0,10.0,0,0,130.0,대구주택(주),HT001,84.71,59.8,71,3,1,427,계단식,50100.0,172260.0,10020.0,112140.0,0.0,0.0,0.0,18000.0,158339,166021,"1억 8,000~2억 7,000","1억~1억 5,000","1,000/50~4,000/30","1,000/50~4,000/30",대구대명초등학교,공립,280.0,248.0
0,경북,78㎡,대구시 남구 대명동 3008,대구시 남구 대경길 258,35.848027,128.577154,60.0,0.0,5.0,5.0,0,0,24.0,,HT001,78.73,71.28,91,3,1,15,계단식,27450.0,109800.0,5490.0,76860.0,0.0,0.0,0.0,18000.0,,,"1억 6,500~1억 9,000",,,,대구남도초등학교,공립,290.0,237.0
1,경북,81,대구시 남구 대명동 3008,대구시 남구 대경길 258,35.848027,128.577154,60.0,0.0,5.0,5.0,0,0,24.0,,HT001,81.7,74.25,91,3,1,45,계단식,28800.0,115200.0,5760.0,80640.0,0.0,0.0,0.0,19000.0,,,"1억 6,500~1억 7,500",,"1,000/40","1,000/40",대구남도초등학교,공립,290.0,237.0
0,경일,159㎡,대구시 남구 대명동 1797-69,대구시 남구 중앙대로47길 39,35.854039,128.588247,16.0,0.0,9.0,8.0,232,33,14.0,경일건설주식회사,HT001,159.38,117.03,73,3,2,14,계단식,59550.0,196830.0,11910.0,125370.0,0.0,0.0,0.0,18000.0,,,"3억 9,000",,,,남대구초등학교,공립,75.0,66.0
1,경일,166,대구시 남구 대명동 1797-69,대구시 남구 중앙대로47길 39,35.854039,128.588247,16.0,0.0,9.0,8.0,232,33,14.0,경일건설주식회사,HT001,166.98,122.61,73,3,2,2,계단식,54150.0,182790.0,10830.0,117810.0,0.0,0.0,0.0,19000.0,,,,,,,남대구초등학교,공립,75.0,66.0
0,경일맨션,68㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,68.86,53.95,78,2,1,7,계단식,,,,,,,,19000.0,,,,,,,대구남도초등학교,공립,290.0,237.0
1,경일맨션,84A㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,84.96,66.58,78,3,1,7,계단식,,,,,,,,19750.0,,,,,,,대구남도초등학교,공립,290.0,237.0
2,경일맨션,87B㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,87.18,68.3,78,3,1,7,계단식,,,,,,,,,,,,,,,대구남도초등학교,공립,290.0,237.0
3,경일맨션,89A㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,89.02,69.75,78,3,2,7,계단식,,,,,,,,,,,,,,,대구남도초등학교,공립,290.0,237.0
4,경일맨션,89B㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,89.79,70.35,78,3,2,7,계단식,,,,,,,,,,,,,,,대구남도초등학교,공립,290.0,237.0
5,경일맨션,91A㎡,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,91.07,71.37,78,3,2,6,계단식,,,,,,,,,,,"1억 7,400",,,,대구남도초등학교,공립,290.0,237.0
6,경일맨션,92B,대구시 남구 대명동 1733-3,대구시 남구 현충로 190,35.849639,128.581207,48.0,0.0,7.0,7.0,0,0,15.0,,HT001,92.76,72.69,78,3,1,7,계단식,,,,,,,,18000,,,"1억 4,500",,,,대구남도초등학교,공립,290.0,237.0
0,계명맨션,104㎡,대구시 남구 대명동 2519-5,대구시 남구 명덕로20길 12,35.857128,128.579446,45.0,0.0,5.0,5.0,0,0,0.0,,HT001,104.96,81.33,77,3,2,20,계단식,27900.0,111600.0,5580.0,78120.0,0.0,0.0,0.0,18000.0,,,"2억 5,000~2억 8,000",,500/50,500/50,대구명덕초등학교,공립,190.0,152.0
