,시군구+도로명,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),건축년도,계약년월일,경도,위도,역세권,의원수,요양병원유무,경찰서유무,학교수,버스정류장수,세대수,주차대수,욕실수,방수,최고층,건설사,시군구,매매물가지수
0,대구광역시 남구 관문시장1길 18,조은하이빌,84.85,202009,11,"25,700",2003.0,20200911,128.558638843,35.836821716,2,64,1,1,0,19,32.0,34.0,2.0,3.0,9.0,0,남구,92.194
1,대구광역시 남구 대경길 125,노블캐슬,102.14,201805,7,"37,000",2016.0,20180507,128.572860578,35.845290336,1,5,0,1,0,6,14.0,15.0,2.0,3.0,9.0,0,남구,86.484
2,대구광역시 남구 대경길 125,노블캐슬,80.95,202105,3,"29,000",2016.0,20210503,128.572860578,35.845290336,1,5,0,1,0,6,14.0,15.0,2.0,3.0,9.0,0,남구,99.087
3,대구광역시 남구 대경길 222,대명(3007-34),84.98,202201,9,"17,500",1991.0,20220109,128.577169478,35.84668537,1,5,1,1,0,4,40.0,21.0,2.0,3.0,5.0,0,남구,100.33
4,대구광역시 남구 대경길 258,경북,71.28,202108,14,"17,800",1983.0,20210814,128.577134734,35.848058684,1,19,1,1,0,8,60.0,24.0,1.0,3.0,5.0,0,남구,100.527
5,대구광역시 남구 대경길 258,경북,74.25,202208,31,"17,500",1983.0,20220831,128.577134734,35.848058684,1,19,1,1,0,8,60.0,24.0,1.0,3.0,5.0,0,남구,98.41
6,대구광역시 남구 대명로 117,개나리맨션,59.8,202303,23,"21,000",1980.0,20230323,128.569760837,35.840452711,2,27,1,1,0,13,427.0,130.0,1.0,3.0,10.0,0,남구,88.025
7,대구광역시 남구 대명로 140,현우팰리스,79.2648,201811,10,"25,000",2016.0,20181110,128.572872863,35.838916924,2,35,0,1,0,16,29.0,29.0,2.0,3.0,18.0,0,남구,87.082
8,대구광역시 남구 대명로 140,현우팰리스,79.7808,202208,2,"31,500",2016.0,20220802,128.572872863,35.838916924,2,35,0,1,0,16,29.0,29.0,2.0,3.0,18.0,0,남구,98.41
9,대구광역시 남구 대명로 140,현우팰리스,83.1522,202009,29,"33,200",2016.0,20200929,128.572872863,35.838916924,2,35,0,1,0,16,29.0,29.0,2.0,3.0,18.0,0,남구,92.194
10,대구광역시 남구 대명로 145,용마맨션,104.59,202106,11,"38,000",1979.0,20210611,128.573699798,35.839462617,2,33,0,1,0,13,162.0,81.0,2.0,4.0,10.0,0,남구,100.0
11,대구광역시 남구 대명로 145,용마맨션,66.84,202001,4,"18,900",1979.0,20200104,128.573699798,35.839462617,2,33,0,1,0,13,162.0,81.0,1.0,2.0,10.0,0,남구,91.028
12,대구광역시 남구 대명로 145,용마맨션,71.57,202109,25,"20,000",1979.0,20210925,128.573699798,35.839462617,2,33,0,1,0,13,162.0,81.0,1.0,3.0,10.0,0,남구,100.582
13,대구광역시 남구 대명로 145,용마맨션,76.33,202106,21,"33,700",1979.0,20210621,128.573699798,35.839462617,2,33,0,1,0,13,162.0,81.0,1.0,3.0,10.0,0,남구,100.0
14,대구광역시 남구 대명로 145,용마맨션,78.18,202105,3,"29,800",1979.0,20210503,128.573699798,35.839462617,2,33,0,1,0,13,162.0,81.0,1.0,3.0,10.0,0,남구,99.087
15,대구광역시 남구 대명로 177,동신점보,63.35,202203,13,"23,500",1979.0,20220313,128.577175795,35.839425754,1,36,0,1,0,14,201.0,125.0,1.0,3.0,13.0,0,남구,99.827
16,대구광역시 남구 대명로 177,동신점보,80.0,202001,16,"17,000",1979.0,20200116,128.577175795,35.839425754,1,36,0,1,0,14,201.0,125.0,1.0,3.0,13.0,0,남구,91.028
17,대구광역시 남구 대명로 177,동신점보,84.8,202206,7,"28,000",1979.0,20220607,128.577175795,35.839425754,1,36,0,1,0,14,201.0,125.0,1.0,3.0,13.0,0,남구,99.237
18,대구광역시 남구 대명로 37,코스모스,80.055,202203,26,"27,300",1982.0,20220326,128.56157692,35.838878155,1,31,1,1,0,11,49.0,22.0,2.0,3.0,5.0,0,남구,99.827
19,대구광역시 남구 대명로 37,코스모스,81.31,202204,15,"27,100",1982.0,20220415,128.56157692,35.838878155,1,31,1,1,0,11,49.0,22.0,2.0,3.0,5.0,0,남구,99.557
20,대구광역시 남구 대명로 41,스카이파크,62.29,202111,15,"30,000",2017.0,20211115,128.562045174,35.839096939,1,27,1,1,0,9,17.0,19.0,2.0,3.0,13.0,0,남구,100.577
21,대구광역시 남구 대명로 41,스카이파크,78.47,202103,26,"32,000",2017.0,20210326,128.562045174,35.839096939,1,27,1,1,0,9,17.0,19.0,2.0,3.0,13.0,0,남구,97.477
22,대구광역시 남구 대명로 83,드림팰리스,83.9624,202109,3,"33,200",2016.0,20210903,128.566968469,35.839685413,2,16,1,1,0,7,36.0,45.0,2.0,3.0,14.0,0,남구,100.582
23,대구광역시 남구 대명로 83,드림팰리스,84.0838,202112,13,"32,500",2016.0,20211213,128.566968469,35.839685413,2,16,1,1,0,7,36.0,45.0,2.0,3.0,14.0,0,남구,100.512
24,대구광역시 남구 대명로14길 60,대명역센트럴엘리프,114.7188,202304,29,"58,000",2022.0,20230429,128.563114323,35.835275259,1,23,1,1,0,12,1051.0,1439.0,2.0,3.0,29.0,0,남구,86.283
25,대구광역시 남구 대명로14길 60,대명역센트럴엘리프,74.9296,202302,11,"46,000",2022.0,20230211,128.563114323,35.835275259,1,23,1,1,0,12,1051.0,1439.0,2.0,3.0,29.0,0,남구,89.84
26,대구광역시 남구 대명로14길 60,대명역센트럴엘리프,84.6292,202304,13,"49,500",2022.0,20230413,128.563114323,35.835275259,1,23,1,1,0,12,1051.0,1439.0,2.0,3.0,29.0,0,남구,86.283
27,대구광역시 남구 대명로14길 60,대명역센트럴엘리프,84.9194,202304,9,"53,000",2022.0,20230409,128.563114323,35.835275259,1,23,1,1,0,12,1051.0,1439.0,2.0,3.0,29.0,0,남구,86.283
28,대구광역시 남구 대명로49길 38,새한(1701-2),116.69,202209,1,"31,000",1979.0,20220901,128.583004778,35.843262615,2,10,1,1,0,9,149.0,0.0,2.0,4.0,5.0,0,남구,97.897
29,대구광역시 남구 대명로49길 38,새한(1701-2),73.19,202109,28,"36,000",1979.0,20210928,128.583004778,35.843262615,2,10,1,1,0,9,149.0,0.0,1.0,3.0,5.0,0,남구,100.582
30,대구광역시 남구 대명로53길 33,영대맨션,84.96,202110,15,"47,500",2001.0,20211015,128.585526432,35.844576908,2,12,1,1,0,5,19.0,16.0,2.0,3.0,5.0,0,남구,100.632
31,대구광역시 남구 대명로53길 33,영대맨션,84.96,202110,15,"43,000",2001.0,20211015,128.585526432,35.844576908,2,12,1,1,0,5,19.0,16.0,2.0,3.0,5.0,0,남구,100.632
32,대구광역시 남구 대명로53길 33,영대맨션,89.43,202201,14,"49,000",2001.0,20220114,128.585526432,35.844576908,2,12,1,1,0,5,19.0,16.0,2.0,3.0,5.0,0,남구,100.33
33,대구광역시 남구 대명복개로 192,세신(1631-1),35.275,202012,15,"9,600",1982.0,20201215,128.569568906,35.84165881,2,20,1,1,0,12,70.0,0.0,1.0,2.0,5.0,0,남구,94.905
34,대구광역시 남구 대명복개로 192,세신(1631-1),50.13,202011,27,"12,600",1982.0,20201127,128.569568906,35.84165881,2,20,1,1,0,12,70.0,0.0,1.0,2.0,5.0,0,남구,93.491
35,대구광역시 남구 대명복개로 192,세신(1631-1),53.9,202208,26,"13,500",1982.0,20220826,128.569568906,35.84165881,2,20,1,1,0,12,70.0,0.0,1.0,2.0,5.0,0,남구,98.41
36,대구광역시 남구 대명복개로 192,세신(1631-1),59.4825,202105,25,"16,500",1982.0,20210525,128.569568906,35.84165881,2,20,1,1,0,12,70.0,0.0,1.0,2.0,5.0,0,남구,99.087
37,대구광역시 남구 대명복개로 230,파크맨션,52.24,202304,3,"15,500",1980.0,20230403,128.571166416,35.8415393,2,29,1,1,0,14,553.0,0.0,1.0,3.0,11.0,0,남구,86.283
38,대구광역시 남구 대명복개로 230,파크맨션,56.88,202304,27,"14,000",1980.0,20230427,128.571166416,35.8415393,2,29,1,1,0,14,553.0,0.0,1.0,3.0,11.0,0,남구,86.283
39,대구광역시 남구 대명복개로 230,파크맨션,58.54,202207,28,"20,000",1980.0,20220728,128.571166416,35.8415393,2,29,1,1,0,14,553.0,0.0,1.0,3.0,11.0,0,남구,98.9
40,대구광역시 남구 대명복개로 230,파크맨션,61.78,202102,20,"24,000",1980.0,20210220,128.571166416,35.8415393,2,29,1,1,0,14,553.0,0.0,1.0,3.0,11.0,0,남구,96.52
